排名,股票代码,股票名称,最新价,10 日涨跌幅,10 日主力净流入 - 净额,10 日主力净流入 - 净占比,10 日超大单净流入 - 净额,10 日超大单净流入 - 净占比,10 日大单净流入 - 净额,10 日大单净流入 - 净占比,10 日中单净流入 - 净额,10 日中单净流入 - 净占比,10 日小单净流入 - 净额,10 日小单净流入 - 净占比
1,601669,中国电建,7.19,+69.58%,288.54亿,24.20%,288.54亿,29.03%,-61.83亿,-6.45%,-103.05亿,-9.68%,-123.66亿,-11.29%
2,300502,新易盛,394.03,+28.21%,223.92亿,15.02%,223.92亿,18.02%,-48.12亿,-4.03%,-80.20亿,-6.05%,-96.24亿,-7.06%
3,601611,中国核建,19.21,+70.14%,183.33亿,34.04%,183.33亿,40.85%,-39.51亿,-9.20%,-65.85亿,-13.80%,-79.02亿,-16.10%
4,002463,沪电股份,81.18,+44.38%,154.90亿,15.74%,154.90亿,18.89%,-33.48亿,-4.28%,-55.80亿,-6.43%,-66.96亿,-7.50%
5,002165,红宝丽,12.76,+70.00%,140.34亿,62.15%,140.34亿,74.58%,-30.42亿,-17.03%,-50.70亿,-25.54%,-60.84亿,-29.80%
6,300308,中际旭创,542.02,+9.45%,122.41亿,11.19%,122.41亿,13.43%,-26.61亿,-3.09%,-44.35亿,-4.63%,-53.22亿,-5.40%
7,002429,兆驰股份,11.94,+70.35%,115.17亿,26.06%,115.17亿,31.28%,-25.11亿,-7.24%,-41.85亿,-10.86%,-50.22亿,-12.67%
8,001309,德明利,320.05,+63.35%,90.00亿,13.54%,90.00亿,16.25%,-19.68亿,-3.79%,-32.80亿,-5.68%,-39.36亿,-6.63%
9,002470,金正大,3.22,+69.30%,88.78亿,81.01%,88.78亿,97.21%,-19.47亿,-22.82%,-32.45亿,-34.23%,-38.94亿,-39.93%
10,600930,华电新能,6.76,+37.10%,83.48亿,16.74%,83.48亿,20.08%,-18.36亿,-4.75%,-30.60亿,-7.12%,-36.72亿,-8.31%
11,300185,通裕重工,4.21,+139.58%,80.38亿,24.11%,80.38亿,28.93%,-17.73亿,-6.89%,-29.55亿,-10.33%,-35.46亿,-12.05%
12,601728,中国电信,6.18,+21.00%,78.78亿,32.51%,78.78亿,39.01%,-17.43亿,-9.36%,-29.05亿,-14.03%,-34.86亿,-16.37%
13,603659,璞泰来,32.41,+70.07%,76.66亿,36.22%,76.66亿,43.47%,-17.01亿,-10.50%,-28.35亿,-15.75%,-34.02亿,-18.38%
14,300035,中科电气,22.89,+93.24%,66.59亿,21.45%,66.59亿,25.75%,-14.82亿,-6.26%,-24.70亿,-9.40%,-29.64亿,-10.96%
15,301308,江波龙,326.17,+15.75%,65.86亿,10.92%,65.86亿,13.10%,-14.70亿,-3.21%,-24.50亿,-4.82%,-29.40亿,-5.62%
16,600036,招商银行,39.76,+4.62%,61.37亿,20.32%,61.37亿,24.38%,-13.74亿,-6.02%,-22.90亿,-9.03%,-27.48亿,-10.54%
17,002056,横店东磁,25.84,+70.00%,60.52亿,27.63%,60.52亿,33.16%,-13.59亿,-8.25%,-22.65亿,-12.37%,-27.18亿,-14.43%
18,300505,川金诺,38.90,+103.74%,58.08亿,14.51%,58.08亿,17.41%,-13.08亿,-4.36%,-21.80亿,-6.55%,-26.16亿,-7.64%
19,603169,兰石重装,12.80,+69.79%,55.91亿,40.31%,55.91亿,48.38%,-12.63亿,-12.22%,-21.05亿,-18.32%,-25.26亿,-21.38%
20,300750,宁德时代,397.00,+2.66%,54.95亿,3.83%,54.95亿,4.59%,-12.45亿,-1.17%,-20.75亿,-1.75%,-24.90亿,-2.04%
21,002273,水晶光电,27.62,+52.01%,52.40亿,14.42%,52.40亿,17.30%,-11.91亿,-4.44%,-19.85亿,-6.65%,-23.82亿,-7.76%
22,688308,欧科亿,93.38,+42.35%,52.11亿,33.49%,52.11亿,40.19%,-11.88亿,-10.38%,-19.80亿,-15.58%,-23.76亿,-18.17%
23,601012,隆基绿能,18.87,+-2.59%,50.38亿,7.53%,50.38亿,9.03%,-11.52亿,-2.35%,-19.20亿,-3.53%,-23.04亿,-4.12%
24,000651,格力电器,38.60,+13.30%,48.92亿,20.84%,48.92亿,25.01%,-11.22亿,-6.56%,-18.70亿,-9.85%,-22.44亿,-11.49%
25,688027,国盾量子,661.00,+11.83%,48.51亿,16.17%,48.51亿,19.40%,-11.16亿,-5.13%,-18.60亿,-7.70%,-22.32亿,-8.98%
26,603366,日出东方,10.32,+70.14%,46.80亿,53.67%,46.80亿,64.41%,-10.80亿,-17.18%,-18.00亿,-25.76%,-21.60亿,-30.06%
27,603986,兆易创新,278.33,+9.03%,41.60亿,6.32%,41.60亿,7.59%,-9.63亿,-2.04%,-16.05亿,-3.06%,-19.26亿,-3.57%
28,600941,中国移动,97.89,+10.50%,40.83亿,22.98%,40.83亿,27.57%,-9.48亿,-7.47%,-15.80亿,-11.21%,-18.96亿,-13.08%
29,300395,菲利华,113.90,+6.86%,40.57亿,8.94%,40.57亿,10.73%,-9.45亿,-2.93%,-15.75亿,-4.40%,-18.90亿,-5.13%
30,688568,中科星图,68.58,+-13.02%,40.45亿,21.68%,40.45亿,26.02%,-9.45亿,-7.17%,-15.75亿,-10.75%,-18.90亿,-12.54%
31,601615,明阳智能,22.15,+3.78%,40.06亿,11.48%,40.06亿,13.78%,-9.39亿,-3.83%,-15.65亿,-5.74%,-18.78亿,-6.70%
32,002213,大为股份,28.38,+44.87%,39.56亿,26.14%,39.56亿,31.37%,-9.30亿,-8.79%,-15.50亿,-13.18%,-18.60亿,-15.38%
33,300476,胜宏科技,278.23,+-5.67%,39.05亿,4.32%,39.05亿,5.18%,-9.21亿,-1.46%,-15.35亿,-2.20%,-18.42亿,-2.56%
34,600227,赤天化,4.37,+70.56%,37.41亿,20.21%,37.41亿,24.25%,-8.85亿,-6.91%,-14.75亿,-10.36%,-17.70亿,-12.09%
35,688981,中芯国际,107.06,+6.93%,36.91亿,9.29%,36.91亿,11.15%,-8.76亿,-3.20%,-14.60亿,-4.81%,-17.52亿,-5.61%
36,601218,吉鑫科技,6.94,+69.86%,36.04亿,22.47%,36.04亿,26.97%,-8.58亿,-7.82%,-14.30亿,-11.72%,-17.16亿,-13.68%
37,002475,立讯精密,49.33,+-5.18%,34.92亿,7.80%,34.92亿,9.36%,-8.34亿,-2.74%,-13.90亿,-4.10%,-16.68亿,-4.79%
38,300436,广生堂,111.17,+61.04%,34.43亿,19.66%,34.43亿,23.59%,-8.25亿,-6.96%,-13.75亿,-10.44%,-16.50亿,-12.18%
39,002487,大金重工,80.65,+70.00%,34.20亿,7.73%,34.20亿,9.27%,-8.22亿,-2.76%,-13.70亿,-4.14%,-16.44亿,-4.83%
40,300077,国民技术,23.22,+40.18%,32.97亿,17.02%,32.97亿,20.42%,-7.95亿,-6.13%,-13.25亿,-9.20%,-15.90亿,-10.73%
41,688361,中科飞测,163.75,+-31.64%,30.75亿,13.07%,30.75亿,15.68%,-7.44亿,-4.75%,-12.40亿,-7.13%,-14.88亿,-8.32%
42,600408,安泰集团,4.13,+70.91%,30.28亿,38.23%,30.28亿,45.87%,-7.35亿,-14.03%,-12.25亿,-21.04%,-14.70亿,-24.55%
43,600078,澄星股份,13.66,+41.23%,29.08亿,20.67%,29.08亿,24.81%,-7.08亿,-7.66%,-11.80亿,-11.48%,-14.16亿,-13.40%
44,600105,永鼎股份,27.61,+6.65%,28.49亿,8.68%,28.49亿,10.41%,-6.96亿,-3.24%,-11.60亿,-4.87%,-13.92亿,-5.68%
45,002531,天顺风能,12.42,+70.07%,27.54亿,17.31%,27.54亿,20.77%,-6.75亿,-6.53%,-11.25亿,-9.80%,-13.50亿,-11.43%
46,002352,顺丰控股,38.06,+13.51%,27.33亿,14.73%,27.33亿,17.68%,-6.72亿,-5.61%,-11.20亿,-8.42%,-13.44亿,-9.82%
47,300274,阳光电源,175.39,+9.24%,26.27亿,1.24%,26.27亿,1.49%,-6.48亿,-0.48%,-10.80亿,-0.71%,-12.96亿,-0.83%
